iso_year,iso_week,fyllingsgrad,kapasitet_TWh,fylling_TWh
1995,1,0.6310096,34.04359,21.481833
1995,2,0.6058067,34.04359,20.623837
1995,3,0.592652,34.04359,20.176003
1995,4,0.56696594,34.04359,19.301558
1995,5,0.53982985,34.04359,18.377747
1995,6,0.51928866,34.04359,17.67845
1995,7,0.49765486,34.04359,16.941957
1995,8,0.47498152,34.04359,16.170076
1995,9,0.44792604,34.04359,15.249011
1995,10,0.41930783,34.04359,14.274744
1995,11,0.39186,34.04359,13.340322
1995,12,0.36695638,34.04359,12.492513
1995,13,0.33784702,34.04359,11.501525
1995,14,0.31249297,34.04359,10.638383
1995,15,0.2912535,34.04359,9.915315
1995,16,0.26679197,34.04359,9.082557
1995,17,0.2615738,34.04359,8.904911
1995,18,0.2711984,34.04359,9.232567
1995,19,0.2832303,34.04359,9.642177
1995,20,0.2745447,34.04359,9.346486
1995,21,0.3045135,34.04359,10.366734
1995,22,0.4053678,34.04359,13.800175
1995,23,0.4863219,34.04359,16.556143
1995,24,0.56892186,34.04359,19.368143
1995,25,0.632642,34.04359,21.537405
1995,26,0.6878053,34.04359,23.415361
1995,27,0.714511,34.04359,24.32452
1995,28,0.7491893,34.04359,25.505095
1995,29,0.8012933,34.04359,27.2789
1995,30,0.82765794,34.04359,28.176447
1995,31,0.84228396,34.04359,28.67437
1995,32,0.8427146,34.04359,28.689032
1995,33,0.8421197,34.04359,28.668777
1995,34,0.8415034,34.04359,28.647797
1995,35,0.83190566,34.04359,28.321054
1995,36,0.8354057,34.04359,28.440208
1995,37,0.84097826,34.04359,28.62992
1995,38,0.83904564,34.04359,28.564125
1995,39,0.8585434,34.04359,29.227898
1995,40,0.9031546,34.04359,30.746626
1995,41,0.9139655,34.04359,31.114668
1995,42,0.93808395,34.04359,31.935745
1995,43,0.96495515,34.04359,32.85054
1995,44,0.9521744,34.04359,32.415436
1995,45,0.92738664,34.04359,31.57157
1995,46,0.8935465,34.04359,30.41953
1995,47,0.88541794,34.04359,30.142805
1995,48,0.8639847,34.04359,29.413141
1995,49,0.8322627,34.04359,28.333208
1995,50,0.8039357,34.04359,27.368858
1995,51,0.765659,34.04359,26.065779
1995,52,0.7286832,34.04359,24.80699
1996,1,0.70740086,34.04359,24.082464
1996,2,0.6782086,34.04359,23.088654
1996,3,0.6471538,34.04359,22.031437
1996,4,0.61291134,34.04359,20.865704
1996,5,0.5774602,34.04359,19.65882
1996,6,0.54137516,34.04359,18.430353
1996,7,0.5074689,34.04359,17.276062
1996,8,0.47121736,34.04359,16.041931
1996,9,0.439928,34.04359,14.976728
1996,10,0.4097233,34.04359,13.948452
1996,11,0.37932512,34.04359,12.913589
1996,12,0.34922767,34.04359,11.888964
1996,13,0.3194036,34.04359,10.873645
1996,14,0.2949161,34.04359,10.040003
1996,15,0.27362737,34.04359,9.315258
1996,16,0.2657745,34.04359,9.047918
1996,17,0.2968093,34.04359,10.104453
1996,18,0.30173814,34.04359,10.27225
1996,19,0.2953794,34.04359,10.055776
1996,20,0.31087926,34.04359,10.5834465
1996,21,0.31328848,34.04359,10.665464
1996,22,0.3259364,34.04359,11.096045
1996,23,0.35308394,34.04359,12.020246
1996,24,0.38608477,34.04359,13.143711
1996,25,0.4011965,34.04359,13.658169
1996,26,0.4093094,34.04359,13.934361
1996,27,0.42275158,34.04359,14.391981
1996,28,0.43315932,34.04359,14.746298
1996,29,0.44007847,34.04359,14.981851
1996,30,0.44246718,34.04359,15.06317
1996,31,0.44940564,34.04359,15.299381
1996,32,0.45204458,34.04359,15.389219
1996,33,0.45066407,34.04359,15.342222
1996,34,0.45031542,34.04359,15.330354
1996,35,0.46074387,34.04359,15.685375
1996,36,0.46228892,34.04359,15.737974
1996,37,0.45014778,34.04359,15.324647
1996,38,0.44591498,34.04359,15.180547
1996,39,0.44326597,34.04359,15.090365
1996,40,0.47608393,34.04359,16.207607
1996,41,0.49897736,34.04359,16.98698
1996,42,0.5188791,34.04359,17.664507
1996,43,0.52617544,34.04359,17.9129
1996,44,0.5593879,34.04359,19.043571
1996,45,0.5898537,34.04359,20.080738
1996,46,0.5819593,34.04359,19.811985
1996,47,0.5710962,34.04359,19.442163
1996,48,0.551393,34.04359,18.771397
1996,49,0.53821504,34.04359,18.322771
1996,50,0.5211531,34.04359,17.741922
1996,51,0.49688625,34.04359,16.91579
1996,52,0.47638097,34.04359,16.217718
1997,1,0.45273584,34.04359,15.412753
1997,2,0.42623538,34.04359,14.510582
1997,3,0.41669652,34.04359,14.185845
1997,4,0.39727098,34.04359,13.52453
1997,5,0.3798414,34.04359,12.931164
1997,6,0.36595443,34.04359,12.458403
1997,7,0.35374215,34.04359,12.042652
1997,8,0.34103036,34.04359,11.609898
1997,9,0.33737245,34.04359,11.485369
1997,10,0.33132726,34.04359,11.27957
1997,11,0.31780383,34.04359,10.819183
1997,12,0.2954062,34.04359,10.056687
1997,13,0.2818399,34.04359,9.594842
1997,14,0.28031024,34.04359,9.542767
1997,15,0.26929095,34.04359,9.167631
1997,16,0.25954843,34.04359,8.83596
1997,17,0.24600859,34.04359,8.375015
1997,18,0.24973744,34.04359,8.501959
1997,19,0.24889442,34.04359,8.47326
1997,20,0.2763979,34.04359,9.409577
1997,21,0.30388248,34.04359,10.345251
1997,22,0.33385587,34.04359,11.365652
1997,23,0.4028597,34.04359,13.71479
1997,24,0.48939064,34.04359,16.660616
1997,25,0.5363113,34.04359,18.257963
1997,26,0.5832359,34.04359,19.855446
1997,27,0.63440484,34.04359,21.597418
1997,28,0.66042835,34.04359,22.48335
1997,29,0.68249494,34.04359,23.234577
1997,30,0.6988081,34.04359,23.789936
1997,31,0.7132747,34.04359,24.282433
1997,32,0.7208218,34.04359,24.539362
1997,33,0.72087705,34.04359,24.541243
1997,34,0.71832186,34.04359,24.454254
1997,35,0.7488525,34.04359,25.493628
1997,36,0.7680908,34.04359,26.14857
1997,37,0.7926681,34.04359,26.985268
1997,38,0.82841337,34.04359,28.202164
1997,39,0.8242573,34.04359,28.060678
1997,40,0.824622,34.04359,28.073092
1997,41,0.8475356,34.04359,28.853155
1997,42,0.8563856,34.04359,29.15444
1997,43,0.84887785,34.04359,28.89885
1997,44,0.83478063,34.04359,28.41893
1997,45,0.8178699,34.04359,27.843227
1997,46,0.81664836,34.04359,27.801643
1997,47,0.79797703,34.04359,27.166002
1997,48,0.77161497,34.04359,26.268543
1997,49,0.7437459,34.04359,25.31978
1997,50,0.7328375,34.04359,24.94842
1997,51,0.70654726,34.04359,24.053404
1997,52,0.6865022,34.04359,23.371
1998,1,0.6423457,34.04359,21.867754
1998,2,0.6268482,34.04359,21.340164
1998,3,0.62943286,34.04359,21.428154
1998,4,0.6055311,34.04359,20.614452
1998,5,0.57852185,34.04359,19.694962
1998,6,0.5530768,34.04359,18.82872
1998,7,0.54508287,34.04359,18.556578
1998,8,0.5613086,34.04359,19.108961
1998,9,0.57371557,34.04359,19.531338
1998,10,0.55378264,34.04359,18.85275
1998,11,0.5302975,34.04359,18.05323
1998,12,0.5074767,34.04359,17.276329
1998,13,0.48675826,34.04359,16.570997
1998,14,0.49100876,34.04359,16.715702
1998,15,0.47966546,34.04359,16.329535
1998,16,0.45925596,34.04359,15.634722
1998,17,0.45440835,34.04359,15.469691
1998,18,0.48984945,34.04359,16.676235
1998,19,0.52372146,34.04359,17.82936
1998,20,0.5695566,34.04359,19.389751
1998,21,0.604326,34.04359,20.573427
1998,22,0.62278336,34.04359,21.20178
1998,23,0.65507245,34.04359,22.301018
1998,24,0.6980632,34.04359,23.764576
1998,25,0.71944183,34.04359,24.492382
1998,26,0.76475835,34.04359,26.03512
1998,27,0.8092121,34.04359,27.548485
1998,28,0.82167447,34.04359,27.972748
1998,29,0.83559936,34.04359,28.446802
1998,30,0.8614907,34.04359,29.328236
1998,31,0.8740471,34.04359,29.755701
1998,32,0.89053136,34.04359,30.316885
1998,33,0.89677805,34.04359,30.529545
1998,34,0.9239138,34.04359,31.453342
1998,35,0.9158767,34.04359,31.179731
1998,36,0.9017076,34.04359,30.697363
1998,37,0.91794246,34.04359,31.250057
1998,38,0.93054056,34.04359,31.678942
1998,39,0.9208936,34.04359,31.350523
1998,40,0.9073848,34.04359,30.890636
1998,41,0.88792425,34.04359,30.228128
1998,42,0.8773427,34.04359,29.867895
1998,43,0.90196836,34.04359,30.70624
1998,44,0.91168344,34.04359,31.036976
1998,45,0.8922841,34.04359,30.376554
1998,46,0.8699241,34.04359,29.61534
1998,47,0.84047997,34.04359,28.612955
1998,48,0.81488043,34.04359,27.741455
1998,49,0.7865572,34.04359,26.777231
1998,50,0.7529601,34.04359,25.633465
1998,51,0.74075454,34.04359,25.217943
1998,52,0.719379,34.04359,24.490244
1998,53,0.72418463,34.04359,24.653843
1999,1,0.7040019,34.04359,23.966751
1999,2,0.6774123,34.04359,23.061544
1999,3,0.66492796,34.04359,22.636536
1999,4,0.6403982,34.04359,21.801453
1999,5,0.6288327,34.04359,21.407722
1999,6,0.60063356,34.04359,20.447723
1999,7,0.5793057,34.04359,19.721647
1999,8,0.55662507,34.04359,18.949516
1999,9,0.5358255,34.04359,18.241425
1999,10,0.5083189,34.04359,17.305
1999,11,0.4853314,34.04359,16.522423
1999,12,0.4631875,34.04359,15.768564
1999,13,0.45609814,34.04359,15.527218
1999,14,0.472666,34.04359,16.091248
1999,15,0.47432458,34.04359,16.147713
1999,16,0.46155506,34.04359,15.712991
1999,17,0.47742483,34.04359,16.253254
1999,18,0.483602,34.04359,16.463547
1999,19,0.47798163,34.04359,16.272211
1999,20,0.5153935,34.04359,17.545845
1999,21,0.5710019,34.04359,19.438953
1999,22,0.63325864,34.04359,21.558397
1999,23,0.7087026,34.04359,24.126781
1999,24,0.7662738,34.04359,26.086712
1999,25,0.8056716,34.04359,27.427954
1999,26,0.8567067,34.04359,29.16537
1999,27,0.88134336,34.04359,30.004091
1999,28,0.8968578,34.04359,30.532259
1999,29,0.9247363,34.04359,31.481344
1999,30,0.9275216,34.04359,31.576164
1999,31,0.9216103,34.04359,31.374924
1999,32,0.9139115,34.04359,31.112827
1999,33,0.9097139,34.04359,30.969927
1999,34,0.89934057,34.04359,30.616781
1999,35,0.8887065,34.04359,30.254759
1999,36,0.8808958,34.04359,29.988855
1999,37,0.879129,34.04359,29.928707
1999,38,0.90203387,34.04359,30.708471
1999,39,0.917275,34.04359,31.227333
1999,40,0.92076814,34.04359,31.346254
1999,41,0.9300576,34.04359,31.662498
1999,42,0.91383004,34.04359,31.110054
1999,43,0.91356593,34.04359,31.101065
1999,44,0.9403217,34.04359,32.011925
1999,45,0.92785984,34.04359,31.587679
1999,46,0.90519094,34.04359,30.815948
1999,47,0.9030584,34.04359,30.74335
1999,48,0.9105347,34.04359,30.99787
1999,49,0.89953685,34.04359,30.623463
1999,50,0.87172836,34.04359,29.676764
1999,51,0.8513565,34.04359,28.983232
1999,52,0.82946724,34.04359,28.238043
2000,1,0.8219683,34.04359,27.982752
2000,2,0.8020752,34.04359,27.30552
2000,3,0.7738178,34.04359,26.343534
2000,4,0.74491864,34.04359,25.359705
2000,5,0.725623,34.04359,24.702812
2000,6,0.7132868,34.04359,24.282845
2000,7,0.6841973,34.04359,23.292534
2000,8,0.6537162,34.04359,22.254847
2000,9,0.63040775,34.04359,21.461344
2000,10,0.60532445,34.04359,20.607418
2000,11,0.5748699,34.04359,19.570635
2000,12,0.54558486,34.04359,18.573668
2000,13,0.5120324,34.04359,17.43142
2000,14,0.48288727,34.04359,16.439217
2000,15,0.4556523,34.04359,15.51204
2000,16,0.44992986,34.04359,15.317227
2000,17,0.48415533,34.04359,16.482386
2000,18,0.55099976,34.04359,18.758009
2000,19,0.5993743,34.04359,20.404854
2000,20,0.66670847,34.04359,22.697151
2000,21,0.6950948,34.04359,23.663523
2000,22,0.7169939,34.04359,24.409046
2000,23,0.73307705,34.04359,24.956573
2000,24,0.77224237,34.04359,26.289902
2000,25,0.81492984,34.04359,27.743137
2000,26,0.84939456,34.04359,28.91644
2000,27,0.8730175,34.04359,29.720648
2000,28,0.88979745,34.04359,30.291899
2000,29,0.90268075,34.04359,30.730494
2000,30,0.91820127,34.04359,31.258867
2000,31,0.9233762,34.04359,31.435041
2000,32,0.92403054,34.04359,31.457317
2000,33,0.93838537,34.04359,31.946007
2000,34,0.94017494,34.04359,32.00693
2000,35,0.9400324,34.04359,32.00208
2000,36,0.94242454,34.04359,32.083515
2000,37,0.93524146,34.04359,31.838976
2000,38,0.92768615,34.04359,31.581768
2000,39,0.92599523,34.04359,31.5242
2000,40,0.9197606,34.04359,31.31195
2000,41,0.93442136,34.04359,31.811056
2000,42,0.9498519,34.04359,32.33637
2000,43,0.95728743,34.04359,32.5895
2000,44,0.96310335,34.04359,32.787495
2000,45,0.95419174,34.04359,32.48411
2000,46,0.9436674,34.04359,32.125828
2000,47,0.9325909,34.04359,31.748743
2000,48,0.92282695,34.04359,31.416342
2000,49,0.9261558,34.04359,31.529669
2000,50,0.9203263,34.04359,31.331211
2000,51,0.89343697,34.04359,30.4158
2000,52,0.8647108,34.04359,29.437859
2001,1,0.83760315,34.04359,28.515018
2001,2,0.8037632,34.04359,27.362984
2001,3,0.7707442,34.04359,26.238901
2001,4,0.74397707,34.04359,25.32765
2001,5,0.70839363,34.04359,24.116262
2001,6,0.6750936,34.04359,22.982609
2001,7,0.64762586,34.04359,22.04751
2001,8,0.6152499,34.04359,20.945314
2001,9,0.5805492,34.04359,19.763979
2001,10,0.55171865,34.04359,18.782484
2001,11,0.52363163,34.04359,17.826302
2001,12,0.49473384,34.04359,16.842516
2001,13,0.4658969,34.04359,15.860803
2001,14,0.4458312,34.04359,15.177695
2001,15,0.4234667,34.04359,14.416327
2001,16,0.39893776,34.04359,13.581273
2001,17,0.37941328,34.04359,12.91659
2001,18,0.37655577,34.04359,12.81931
2001,19,0.40149468,34.04359,13.668321
2001,20,0.44759747,34.04359,15.237825
2001,21,0.48571688,34.04359,16.535547
2001,22,0.5329402,34.04359,18.143198
2001,23,0.56404316,34.04359,19.202055
2001,24,0.5811143,34.04359,19.783216
2001,25,0.62176543,34.04359,21.167128
2001,26,0.6640131,34.04359,22.605389
2001,27,0.6941366,34.04359,23.630903
2001,28,0.726574,34.04359,24.735188
2001,29,0.73975325,34.04359,25.183855
2001,30,0.74952996,34.04359,25.516691
2001,31,0.759159,34.04359,25.844498
2001,32,0.7660202,34.04359,26.078075
2001,33,0.7807292,34.04359,26.578825
2001,34,0.78948826,34.04359,26.877014
2001,35,0.7935553,34.04359,27.015472
2001,36,0.79428244,34.04359,27.040224
2001,37,0.788188,34.04359,26.832748
2001,38,0.7853999,34.04359,26.737831
2001,39,0.775158,34.04359,26.38916
2001,40,0.82210493,34.04359,27.987402
2001,41,0.8673764,34.04359,29.528606
2001,42,0.87302184,34.04359,29.720797
2001,43,0.87989616,34.04359,29.954824
2001,44,0.91241425,34.04359,31.061857
2001,45,0.90565526,34.04359,30.831757
2001,46,0.88665825,34.04359,30.18503
2001,47,0.8642667,34.04359,29.42274
2001,48,0.846413,34.04359,28.814938
2001,49,0.82455605,34.04359,28.070848
2001,50,0.8002329,34.04359,27.242802
2001,51,0.76789045,34.04359,26.141748
2001,52,0.7377061,34.04359,25.114164
2002,1,0.70473534,34.04359,23.99172
2002,2,0.67505646,34.04359,22.981346
2002,3,0.65373135,34.04359,22.255362
2002,4,0.63264924,34.04359,21.537651
2002,5,0.62286544,34.04359,21.204576
2002,6,0.6178806,34.04359,21.034874
2002,7,0.5978751,34.04359,20.353815
2002,8,0.574886,34.04359,19.571184
2002,9,0.54944485,34.04359,18.705076
2002,10,0.53091115,34.04359,18.074121
2002,11,0.5071055,34.04359,17.263693
2002,12,0.48475623,34.04359,16.502842
2002,13,0.46502498,34.04359,15.83112
2002,14,0.4570087,34.04359,15.558217
2002,15,0.44532165,34.04359,15.160348
2002,16,0.4354872,34.04359,14.825548
2002,17,0.4573008,34.04359,15.568161
2002,18,0.47486126,34.04359,16.165983
2002,19,0.5166256,34.04359,17.58779
2002,20,0.5650891,34.04359,19.237661
2002,21,0.63423353,34.04359,21.591585
2002,22,0.68331295,34.04359,23.262426
2002,23,0.7295643,34.04359,24.836988
2002,24,0.7708007,34.04359,26.240822
2002,25,0.7983883,34.04359,27.180004
2002,26,0.8225595,34.04359,28.002876
2002,27,0.83216447,34.04359,28.329865
2002,28,0.8711334,34.04359,29.656507
2002,29,0.8796649,34.04359,29.94695
2002,30,0.8811553,34.04359,29.99769
2002,31,0.87627345,34.04359,29.831493
2002,32,0.8655475,34.04359,29.466343
2002,33,0.8520638,34.04359,29.00731
2002,34,0.83666503,34.04359,28.483082
2002,35,0.82190275,34.04359,27.98052
2002,36,0.8164723,34.04359,27.795649
2002,37,0.8054478,34.04359,27.420336
2002,38,0.7858069,34.04359,26.751688
2002,39,0.7630747,34.04359,25.977802
2002,40,0.7453713,34.04359,25.375113
2002,41,0.72132903,34.04359,24.55663
2002,42,0.6897939,34.04359,23.48306
2002,43,0.6754854,34.04359,22.995947
2002,44,0.6525409,34.04359,22.214836
2002,45,0.6306486,34.04359,21.469543
2002,46,0.60223067,34.04359,20.502094
2002,47,0.5725453,34.04359,19.491497
2002,48,0.54437506,34.04359,18.53248
2002,49,0.5170529,34.04359,17.602337
2002,50,0.48513526,34.04359,16.515745
2002,51,0.45565933,34.04359,15.5122795
2002,52,0.42974928,34.04359,14.630208
2003,1,0.4002675,34.04359,13.626543
2003,2,0.37069035,34.04359,12.61963
2003,3,0.3656888,34.04359,12.449359
2003,4,0.3562939,34.04359,12.129523
2003,5,0.34226522,34.04359,11.651937
2003,6,0.31952748,34.04359,10.877862
2003,7,0.2989889,34.04359,10.178657
2003,8,0.274559,34.04359,9.346973
2003,9,0.25039974,34.04359,8.524506
2003,10,0.23189661,34.04359,7.8945932
2003,11,0.21986067,34.04359,7.4848466
2003,12,0.2046942,34.04359,6.9685254
2003,13,0.1930543,34.04359,6.572262
2003,14,0.17958674,34.04359,6.113777
2003,15,0.16382188,34.04359,5.577085
2003,16,0.16132216,34.04359,5.4919853
2003,17,0.17147991,34.04359,5.8377914
2003,18,0.1888229,34.04359,6.428209
2003,19,0.20890905,34.04359,7.1120143
2003,20,0.22650905,34.04359,7.711181
2003,21,0.2746784,34.04359,9.351039
2003,22,0.33735943,34.04359,11.484926
2003,23,0.4131131,34.04359,14.063852
2003,24,0.4617286,34.04359,15.7189
2003,25,0.5011698,34.04359,17.061619
2003,26,0.5388725,34.04359,18.345154
2003,27,0.5627817,34.04359,19.15911
2003,28,0.57782716,34.04359,19.67131
2003,29,0.5894736,34.04359,20.067797
2003,30,0.61625457,34.04359,20.979517
2003,31,0.6241372,34.04359,21.247871
2003,32,0.6154289,34.04359,20.95141
2003,33,0.6082589,34.04359,20.707317
2003,34,0.61524653,34.04359,20.945202
2003,35,0.6146434,34.04359,20.924667
2003,36,0.606817,34.04359,20.658228
2003,37,0.6223093,34.04359,21.185642
2003,38,0.63022274,34.04359,21.455046
2003,39,0.6677733,34.04359,22.7334
2003,40,0.6725673,34.04359,22.896605
2003,41,0.67565006,34.04359,23.001553
2003,42,0.6602326,34.04359,22.476688
2003,43,0.63798374,34.04359,21.719255
2003,44,0.62455475,34.04359,21.262087
2003,45,0.6204021,34.04359,21.120714
2003,46,0.6057195,34.04359,20.620867
2003,47,0.59527284,34.04359,20.265224
2003,48,0.58332795,34.04359,19.858578
2003,49,0.57010996,34.04359,19.40859
2003,50,0.55377465,34.04359,18.852476
2003,51,0.5424867,34.04359,18.468195
2003,52,0.54158586,34.04359,18.437527
2004,1,0.5232899,34.04359,17.814669
2004,2,0.5030668,34.04359,17.1262
2004,3,0.48201695,34.04359,16.409588
2004,4,0.45619458,34.04359,15.530501
2004,5,0.43355128,34.04359,14.759642
2004,6,0.43635505,34.04359,14.855093
2004,7,0.41665992,34.04359,14.1846
2004,8,0.39549282,34.04359,13.463995
2004,9,0.37273428,34.04359,12.689213
2004,10,0.34695315,34.04359,11.811531
2004,11,0.323617,34.04359,11.017085
2004,12,0.31893998,34.04359,10.857862
2004,13,0.298769,34.04359,10.171169
2004,14,0.28548342,34.04359,9.718881
2004,15,0.27539364,34.04359,9.375388
2004,16,0.27795827,34.04359,9.462697
2004,17,0.31514964,34.04359,10.728826
2004,18,0.34570086,34.04359,11.768898
2004,19,0.43684343,34.04359,14.871718
2004,20,0.47761554,34.04359,16.259747
2004,21,0.5028608,34.04359,17.119186
2004,22,0.5072091,34.04359,17.26722
2004,23,0.52147186,34.04359,17.752773
2004,24,0.54693395,34.04359,18.619596
2004,25,0.56461215,34.04359,19.221424
2004,26,0.57950556,34.04359,19.728449
2004,27,0.593263,34.04359,20.1968
2004,28,0.603412,34.04359,20.54231
2004,29,0.6128945,34.04359,20.86513
2004,30,0.62340915,34.04359,21.223085
2004,31,0.6256144,34.04359,21.29816
2004,32,0.62933725,34.04359,21.424898
2004,33,0.62464356,34.04359,21.26511
2004,34,0.62738,34.04359,21.358267
2004,35,0.64644134,34.04359,22.007183
2004,36,0.66869783,34.04359,22.764875
2004,37,0.667325,34.04359,22.718138
2004,38,0.6996356,34.04359,23.818108
2004,39,0.7234591,34.04359,24.629147
2004,40,0.73415506,34.04359,24.993273
2004,41,0.7688075,34.04359,26.172966
2004,42,0.7634515,34.04359,25.990631
2004,43,0.77131176,34.04359,26.25822
2004,44,0.7707289,34.04359,26.238379
2004,45,0.7686064,34.04359,26.16612
2004,46,0.7829319,34.04359,26.653812
2004,47,0.7836343,34.04359,26.677725
2004,48,0.7719523,34.04359,26.280027
2004,49,0.76274544,34.04359,25.966595
2004,50,0.7552901,34.04359,25.712786
2004,51,0.758478,34.04359,25.821312
2004,52,0.74468243,34.04359,25.351664
2004,53,0.7410713,34.04359,25.228727
2005,1,0.76023734,34.04359,25.881208
2005,2,0.76730686,34.04359,26.121881
2005,3,0.75173336,34.04359,25.591703
2005,4,0.7240849,34.04359,24.65045
2005,5,0.6969593,34.04359,23.726997
2005,6,0.6718628,34.04359,22.872622
2005,7,0.63911885,34.04359,21.7579
2005,8,0.6034922,34.04359,20.54504
2005,9,0.5674134,34.04359,19.31679
2005,10,0.5342176,34.04359,18.186686
2005,11,0.5064013,34.04359,17.23972
2005,12,0.48266956,34.04359,16.431805
2005,13,0.45968506,34.04359,15.649329
2005,14,0.4416826,34.04359,15.036462
2005,15,0.43074086,34.04359,14.663965
2005,16,0.41733772,34.04359,14.207674
2005,17,0.41260678,34.04359,14.046617
2005,18,0.42799726,34.04359,14.570563
2005,19,0.422307,34.04359,14.376846
2005,20,0.431564,34.04359,14.691988
2005,21,0.4893073,34.04359,16.657778
2005,22,0.5272728,34.04359,17.95026
2005,23,0.55382127,34.04359,18.854065
